url,name,address,score,review_counts,price,category,open_time,amenities
https://www.yelp.com/biz/fresh-start-santa-monica?osq=Restaurants,Fresh Start,"1328 2nd St Santa Monica, CA 90401",4.5 star rating,3 reviews,,"American (Traditional), Sandwiches, Donuts","Mon
8:00 AM - 2:00 PM
Tue
8:00 AM - 2:00 PM
Wed
8:00 AM - 2:00 PM
Thu
8:00 AM - 2:00 PM
Open now
Fri
8:00 AM - 2:00 PM
Sat
Closed
Sun
Closed","Amenities and More
Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Outdoor Seating
Offers Catering
Garage Parking, Street Parking
Free Wi-Fi
Wheelchair Accessible
Open to All
No Waiter Service
No Alcohol
Dogs Not Allowed
No TV
Bike Parking
Show Less"
https://www.yelp.com/biz/el-amanecer-salvadoreno-los-angeles?osq=Restaurants,El Amanecer Salvadoreno,"3059 W 8th St Los Angeles, CA 90005",3.5 star rating,77 reviews,$$,Salvadoran,"Mon
9:00 AM - 10:00 PM
Tue
9:00 AM - 10:00 PM
Wed
9:00 AM - 10:00 PM
Thu
9:00 AM - 10:00 PM
Open now
Fri
9:00 AM - 11:00 PM
Sat
9:00 AM - 11:00 PM
Sun
9:00 AM - 10:00 PM","Amenities and More
Health ScoreA
Offers Takeout
No Reservations
No Delivery
Masks required
Staff wears masks
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Classy
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch
Street Parking
Waiter Service
Paid Wi-Fi
Beer & Wine Only
TV
Not Wheelchair Accessible
Bike Parking
Show Less"
https://www.yelp.com/biz/scottless-gumbo-and-grill-inglewood?osq=Restaurants,Scottles's Gumbo and Grill,"945 S Prairie Ave Ste 101 Inglewood, CA 90301",4 star rating,51 reviews,$$,"Soul Food, Barbeque, Southern","Mon
Closed
Tue
11:00 AM - 6:00 PM
Wed
11:00 AM - 6:00 PM
Thu
11:00 AM - 6:00 PM
Open now
Fri
11:00 AM - 6:00 PM
Sat
11:00 AM - 6:00 PM
Sun
Closed","Amenities and More
Takes Reservations
Offers Takeout
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Classy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Private Lot Parking
Free Wi-Fi
TV
Offers Military Discount
No Outdoor Seating
No Alcohol
No Drive-Thru
No Bike Parking
Show Less"
https://www.yelp.com/biz/wahlburgers-los-angeles-4?osq=Restaurants,Wahlburgers,"6922 Hollywood Blvd Los Angeles, CA 90028",3.5 star rating,23 reviews,,"American (Traditional), Burgers, Salad","Mon
10:30 AM - 10:00 PM
Tue
10:30 AM - 10:00 PM
Wed
10:30 AM - 10:00 PM
Thu
10:30 AM - 10:00 PM
Open now
Fri
10:30 AM - 11:00 PM
Sat
10:30 AM - 11:00 PM
Sun
10:30 AM - 11:00 PM","Amenities and More
Health ScoreA
Offers Delivery
Offers Takeout
Classy
Good For Kids
Show Less"
https://www.yelp.com/biz/coconut-cake-thai-desserts-los-angeles?osq=Restaurants,Coconut Cake Thai Desserts,"5321 Hollywood Blvd Los Angeles, CA 90027",5 star rating,4 reviews,,"Food Stands, Thai, Desserts","Mon
Closed
Tue
Closed
Wed
Closed
Thu
Closed
Closed now
Fri
Closed
Sat
10:00 AM - 6:00 PM
Sun
10:00 AM - 6:00 PM","Amenities and More
Classy
Validated Parking"
https://www.yelp.com/biz/the-milky-way-los-angeles-3?osq=Restaurants,The Milky Way,"9108 W Pico Blvd Los Angeles, CA 90035",4.5 star rating,131 reviews,$$,"Kosher, Seafood, American (New)","Mon
12:00 PM - 8:00 PM
Tue
12:00 PM - 8:00 PM
Wed
12:00 PM - 8:00 PM
Thu
12:00 PM - 8:00 PM
Closed now
Fri
Closed
Sat
Closed
Sun
10:30 AM - 8:00 PM","Amenities and More
Takes Reservations
Offers Delivery
Offers Takeout
All staff fully vaccinated
Masks required
Staff wears masks
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Outdoor Seating
Classy, Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking
Waiter Service
Free Wi-Fi
Beer & Wine Only
Wheelchair Accessible
TV
Gender-neutral restrooms
No Happy Hour
Bike Parking
Show Less"
https://www.yelp.com/biz/astro-burger-west-hollywood-2?osq=Restaurants,Astro Burger,"7475 Santa Monica Blvd West Hollywood, CA 90046",4 star rating,841 reviews,$$,"Burgers, American (Traditional), Mexican","Mon
7:00 AM - 11:00 PM
Tue
7:00 AM - 11:00 PM
Wed
7:00 AM - 11:00 PM
Thu
7:00 AM - 11:00 PM
Open now
Fri
7:00 AM - 12:00 AM (Next day)
Sat
7:00 AM - 12:00 AM (Next day)
Sun
7:00 AM - 11:00 PM","Amenities and More
Health ScoreA
Offers Takeout
No Reservations
No Delivery
Vegan Options
Limited Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Late Night
Garage Parking, Street Parking, Private Lot Parking
Free Wi-Fi
Wheelchair Accessible
TV
Gender-neutral restrooms
Offers Catering
No Waiter Service
No Happy Hour
No Alcohol
Dogs Not Allowed
Bike Parking
Compostable containers available
Show Less"
https://www.yelp.com/biz/jeong-yuk-jeom-los-angeles-2?osq=Restaurants,Jeong Yuk Jeom,"621 S Western Ave Ste 100 Los Angeles, CA 90005",4 star rating,440 reviews,$$,"Korean, Barbeque","Mon
11:30 AM - 10:00 PM
Tue
11:30 AM - 10:00 PM
Wed
11:30 AM - 10:00 PM
Thu
11:30 AM - 10:00 PM
Open now
Fri
11:30 AM - 10:00 PM
Sat
11:30 AM - 10:00 PM
Sun
11:30 AM - 10:00 PM","Amenities and More
Health ScoreA
Takes Reservations
Offers Takeout
No Delivery
Proof of vaccination required
All staff fully vaccinated
Masks required
Staff wears masks
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Classy
Moderate Noise
Good for Groups
Good For Kids
Good for Dinner
Garage Parking, Street Parking, Validated Parking, Private Lot Parking
Waiter Service
Free Wi-Fi
Full Bar
Wheelchair Accessible
Gender-neutral restrooms
No Outdoor Seating
Offers Catering
No Happy Hour
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
Bike Parking
Provides reusable tableware
Show Less"
https://www.yelp.com/biz/gulp-los-angeles-5?osq=Restaurants,Gulp,"13020 Pacific Promenade Ste 1 Los Angeles, CA 90094",4 star rating,267 reviews,$$,"American (New), Burgers, Sports Bars","Mon
12:00 PM - 9:00 PM
Tue
12:00 PM - 9:00 PM
Wed
12:00 PM - 9:00 PM
Thu
12:00 PM - 9:00 PM
Closed now
Fri
12:00 PM - 9:30 PM
Sat
10:00 AM - 9:30 PM
Sun
10:00 AM - 9:00 PM","Amenities and More
Health ScoreA
Takes Reservations
Offers Delivery
Offers Takeout
Masks required
Staff wears masks
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Dinner
Street Parking
Waiter Service
Free Wi-Fi
Best nights on Friday, Saturday, Sunday
Happy Hour Specials
Full Bar
Wheelchair Accessible
TV
Heated Outdoor Seating
Covered Outdoor Seating
Offers Catering
Not Good For Dancing
No Pool Table
No Smoking
No Drive-Thru
No Private Dining
Bike Parking
Show Less"
https://www.yelp.com/biz/bull-and-dragon-los-angeles-3?osq=Restaurants,Bull & Dragon,"1842 W Washington Blvd Los Angeles, CA 90007",4.5 star rating,21 reviews,,"American (New), Pop-Up Restaurants","Mon
Closed
Tue
Closed
Wed
Closed
Thu
5:30 PM - 9:30 PM
Closed now
Fri
5:30 PM - 9:30 PM
Sat
5:30 PM - 9:30 PM
Sun
Closed","Amenities and More
Offers Takeout
No Reservations
No Delivery
Masks required
Staff wears masks
Accepts Credit Cards
Accepts Cryptocurrency
Offers Catering
Good for Groups
Street Parking
Free Wi-Fi
Dogs Allowed
Wheelchair Accessible
Gender-neutral restrooms
No Outdoor Seating
No Waiter Service
No Alcohol
No TV
Bike Parking
Show Less"
